frame_number,center_x,center_y
88,555.0,361.0
89,540.5,371.0
90,541.6666666666666,367.3333333333333
91,538.3333333333334,367.0
92,543.3333333333334,360.0
93,544.6666666666666,360.0
94,556.6666666666666,370.3333333333333
95,556.6666666666666,369.6666666666667
96,553.0,369.6666666666667
97,539.6666666666666,359.3333333333333
98,541.3333333333334,360.0
99,558.3333333333334,369.6666666666667
100,557.3333333333334,369.0
101,556.6666666666666,369.0
102,541.0,359.3333333333333
103,543.3333333333334,360.0
104,557.3333333333334,368.6666666666667
105,555.0,367.6666666666667
6,553.3333333333334,368.0
7,546.0,365.6666666666667
8,543.0,365.6666666666667
9,543.3333333333334,365.3333333333333
10,534.6666666666666,359.3333333333333
11,539.3333333333334,360.6666666666667
12,545.0,364.6666666666667
13,537.6666666666666,363.0
14,538.3333333333334,362.6666666666667
15,531.6666666666666,359.0
16,539.3333333333334,360.6666666666667
17,542.0,362.6666666666667
18,529.6666666666666,359.6666666666667
19,530.3333333333334,359.3333333333333
20,526.6666666666666,357.6666666666667
21,539.6666666666666,361.0
22,540.0,362.0
23,521.3333333333334,356.3333333333333
24,522.0,356.0
25,520.6666666666666,355.3333333333333
26,540.0,361.0
27,540.6666666666666,361.3333333333333
28,517.6666666666666,353.6666666666667
29,518.3333333333334,353.3333333333333
30,516.0,353.0
31,539.6666666666666,360.6666666666667
32,540.0,361.3333333333333
33,511.3333333333333,350.6666666666667
34,512.0,350.3333333333333
35,510.0,350.0
36,540.0,360.6666666666667
37,540.3333333333334,361.0
38,503.3333333333333,346.6666666666667
39,504.0,346.3333333333333
40,501.3333333333333,346.3333333333333
41,540.0,360.6666666666667
42,539.6666666666666,361.0
43,506.0,353.0
44,505.3333333333333,352.0
45,503.0,352.3333333333333
46,539.3333333333334,360.0
47,540.0,361.0
48,572.3333333333334,371.6666666666667
49,567.6666666666666,368.0
50,565.6666666666666,368.3333333333333
51,533.3333333333334,357.3333333333333
52,537.6666666666666,361.0
53,568.6666666666666,373.0
54,562.6666666666666,366.3333333333333
55,561.0,367.3333333333333
56,532.6666666666666,354.6666666666667
57,541.0,361.0
188,543.3333333333334,360.0
189,542.0,360.3333333333333
190,547.0,361.6666666666667
191,517.0,360.3333333333333
192,518.3333333333334,360.3333333333333
193,514.0,359.0
194,542.6666666666666,360.6666666666667
195,544.3333333333334,361.0
196,550.6666666666666,372.3333333333333
197,551.6666666666666,372.0
198,550.0,371.3333333333333
199,542.3333333333334,360.3333333333333
200,543.6666666666666,360.6666666666667
201,553.6666666666666,373.0
202,554.3333333333334,372.3333333333333
203,553.0,372.0
204,541.6666666666666,360.0
205,543.0,360.6666666666667
106,543.3333333333334,360.6666666666667
107,543.6666666666666,360.3333333333333
108,543.0,360.0
109,556.0,366.3333333333333
110,552.3333333333334,365.3333333333333
111,552.3333333333334,365.3333333333333
112,538.3333333333334,359.0
113,542.6666666666666,360.0
114,552.3333333333334,364.0
115,546.3333333333334,363.3333333333333
116,546.3333333333334,363.3333333333333
117,535.6666666666666,359.3333333333333
